title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,0.21095394,-0.26880398,0.4706435,-0.6392291,-0.44369343,0.06611732,0.3282162,0.21862093,-0.6315707,0.3448436,0.112671785,-0.6182937,-0.52687025,-0.6127279,-0.22952871,0.7331765,0.07659459,0.7380432,1.6196814,0.035850313,-0.1934833,-0.005982415,-1.050704,-0.042133246,-0.81339854,0.15981983,1.2288263,0.27941433,0.34575248,0.26551566,-0.2407326,-0.37427285
,0.20044704,-0.2576756,0.4358891,-0.60394,-0.4065354,0.07124547,0.2867717,0.20629561,-0.6016065,0.32979953,0.10133435,-0.5821223,-0.4737274,-0.54057,-0.20466748,0.65802157,0.070115305,0.65300965,1.5128036,0.04070091,-0.16918632,-0.010562482,-0.9709066,-0.0245462,-0.7508124,0.13940515,1.1331058,0.2607803,0.31343913,0.24105375,-0.2528977,-0.33375105
,0.27236855,-0.3496257,0.6126446,-0.86306345,-0.58027554,0.092136696,0.43839008,0.3041194,-0.85283303,0.4555959,0.13532181,-0.8218593,-0.6961073,-0.8003067,-0.32570037,0.9792332,0.09743335,0.9700171,2.167385,0.06871899,-0.23817757,-0.016974006,-1.3831735,-0.03751313,-1.08996,0.22863118,1.6366138,0.40753648,0.44705364,0.33567634,-0.33572456,-0.46163398
,0.11132836,-0.18125531,0.28782502,-0.4004805,-0.2661365,0.055685863,0.20774777,0.14773682,-0.38004434,0.20091718,0.07121755,-0.37725607,-0.32594502,-0.3710717,-0.15484162,0.4394991,0.032779872,0.44000685,0.9906299,0.032949906,-0.11637019,0.006940881,-0.6485406,-0.021787437,-0.50532997,0.10414981,0.7426141,0.17693195,0.19164114,0.16275477,-0.14484665,-0.22979315
,0.16039109,-0.2098642,0.37053955,-0.4960576,-0.3391328,0.039851215,0.2584123,0.177181,-0.49799162,0.26477233,0.08526833,-0.49398783,-0.3995461,-0.48198375,-0.18313314,0.5567499,0.059329033,0.574423,1.2758436,0.043358557,-0.13000049,-0.003242404,-0.8132523,-0.014198273,-0.6319683,0.13746195,0.94518787,0.23525119,0.24634345,0.19069767,-0.18496148,-0.2759907
,0.21761608,-0.2756017,0.48835132,-0.6453133,-0.45883706,0.06824855,0.34613612,0.24276789,-0.6466386,0.3422825,0.089041665,-0.626841,-0.53109926,-0.6129206,-0.24693863,0.74880326,0.08443067,0.72839236,1.6651154,0.033623487,-0.20177516,-0.011907718,-1.0784353,-0.013302622,-0.8232448,0.16744845,1.2395031,0.28601822,0.3445453,0.27869168,-0.25894162,-0.36173904
,0.21621713,-0.29631552,0.5002659,-0.6972791,-0.48553547,0.073327534,0.34851956,0.2648318,-0.6921728,0.37444273,0.107993916,-0.67859197,-0.5594155,-0.6642136,-0.25643823,0.7882721,0.079176635,0.7960389,1.7904085,0.028574489,-0.2071266,0.003397973,-1.1409415,-0.0359315,-0.8718163,0.17579545,1.3307711,0.3281233,0.35178754,0.28184322,-0.29200524,-0.38959172
,0.21957743,-0.2884282,0.54419243,-0.7263879,-0.5102329,0.07163566,0.36661232,0.254971,-0.71044433,0.38075006,0.113031685,-0.7062819,-0.57335746,-0.68303996,-0.26149747,0.8250832,0.08217484,0.81246954,1.8170043,0.043131217,-0.21473408,-0.0014938102,-1.188116,-0.030890392,-0.9103772,0.20974383,1.4020994,0.33254862,0.37433672,0.2887674,-0.29807934,-0.39771044
,0.25286934,-0.30394438,0.5558556,-0.75580883,-0.5178213,0.08576128,0.3789371,0.2706141,-0.7331039,0.39682642,0.11658866,-0.74636424,-0.6321008,-0.7081037,-0.27518532,0.84305805,0.081389345,0.8293088,1.9020708,0.05162306,-0.22634807,0.008596743,-1.2287843,-0.040251113,-0.96249443,0.19312125,1.4410759,0.34094054,0.40325993,0.30064127,-0.31114867,-0.40943438
,0.17167147,-0.24962232,0.44227985,-0.56759363,-0.3964635,0.055852756,0.28581196,0.21729827,-0.5880527,0.3113477,0.10351408,-0.5809245,-0.47622982,-0.5586336,-0.23190838,0.6244911,0.06825274,0.6504745,1.4881511,0.03267398,-0.15890081,-0.010196181,-0.9503091,-0.025869342,-0.7551883,0.15326181,1.0934802,0.26332995,0.29471335,0.21476036,-0.22790986,-0.33789045
,0.23039603,-0.32571316,0.5453205,-0.7727874,-0.5306471,0.071021974,0.38801542,0.29407966,-0.7517284,0.4090473,0.120929785,-0.73277473,-0.60256416,-0.72919506,-0.2754617,0.83949274,0.07963084,0.8629934,1.9250842,0.036847837,-0.21934572,0.011804298,-1.2342108,-0.040322576,-0.94288594,0.20232919,1.4515663,0.36245748,0.38410276,0.3085831,-0.28594947,-0.4193357
,0.2147996,-0.27522233,0.48386103,-0.6558805,-0.454077,0.06774913,0.33806258,0.22351502,-0.6493792,0.3531059,0.11579101,-0.63392365,-0.54059553,-0.6294473,-0.23670533,0.75156933,0.07769225,0.75872463,1.6624542,0.03731428,-0.19786137,-0.0066194064,-1.0791311,-0.043817606,-0.83392435,0.16497926,1.2620078,0.28635302,0.35454077,0.27262816,-0.24735788,-0.3842914
,0.17607166,-0.2508351,0.4267597,-0.5935093,-0.39896163,0.06164752,0.30613697,0.22803546,-0.5717071,0.31559217,0.080717325,-0.56767654,-0.47367218,-0.5681654,-0.214842,0.6586535,0.07495087,0.675245,1.47802,0.031987693,-0.15790826,-0.0005135465,-0.943369,-0.035295554,-0.730513,0.14669722,1.1175532,0.27812925,0.31667018,0.22571103,-0.24992704,-0.34147325
,0.27173623,-0.34706974,0.5795518,-0.79972434,-0.5484908,0.079103835,0.40083838,0.29950863,-0.78461695,0.42205265,0.12606001,-0.7832336,-0.6448417,-0.76631683,-0.27845767,0.9014799,0.097506344,0.9064959,2.0205376,0.03741529,-0.23661277,0.009014843,-1.2998278,-0.037253715,-1.0043387,0.2137041,1.5131062,0.37444016,0.40697762,0.30924848,-0.31908157,-0.44518614
,0.22757836,-0.2973503,0.5219394,-0.75061035,-0.5018087,0.08579355,0.39072472,0.2609192,-0.72315055,0.39257252,0.10348129,-0.7040301,-0.5954058,-0.70114595,-0.28113094,0.8201619,0.08883747,0.84091944,1.8760495,0.061792847,-0.2080345,0.008672373,-1.1822144,-0.039779756,-0.91858953,0.18515886,1.4105436,0.34244162,0.37896827,0.30952242,-0.28700626,-0.40115926
,0.2512839,-0.30612794,0.53031176,-0.7623877,-0.51064295,0.08191059,0.37270883,0.26618925,-0.738747,0.40385333,0.1091172,-0.72171795,-0.62555665,-0.69953907,-0.26744694,0.83834183,0.090272665,0.8660254,1.9233562,0.058510497,-0.21631382,-0.012039845,-1.2265995,-0.03397559,-0.93553555,0.20600538,1.438341,0.34334853,0.40615848,0.29488522,-0.31250927,-0.41488668
,0.24495749,-0.3173644,0.50880694,-0.7350896,-0.5166788,0.0888776,0.38201958,0.282392,-0.7109739,0.3874667,0.104961686,-0.7075224,-0.5828235,-0.67099196,-0.2699041,0.8005241,0.073893815,0.8158904,1.8501619,0.031128913,-0.21710548,-0.0064494372,-1.1621228,-0.042775292,-0.89879143,0.18860321,1.3767489,0.33417237,0.3688377,0.3004788,-0.28309733,-0.4028946
,0.20191304,-0.27520716,0.47669217,-0.6755971,-0.46401176,0.08552368,0.34064382,0.26119107,-0.6591347,0.37076357,0.094148,-0.656451,-0.5521821,-0.6321755,-0.22638577,0.72289336,0.07001817,0.7523763,1.6941296,0.05048575,-0.17990954,-0.0041974336,-1.0605316,-0.015286305,-0.8356799,0.15862915,1.2676059,0.28891623,0.35114273,0.2786038,-0.25052565,-0.3780861
,0.28013235,-0.33797145,0.59095764,-0.8122879,-0.5904456,0.08180968,0.4183508,0.3068716,-0.7997034,0.44347164,0.12912072,-0.81558454,-0.6689587,-0.79315877,-0.31585658,0.9119595,0.10773313,0.9405634,2.0840816,0.04645363,-0.24785131,-0.0076027773,-1.3290789,-0.029579412,-1.0400043,0.22958446,1.5798519,0.37480146,0.43107852,0.33183733,-0.31665307,-0.45763198
,0.1939333,-0.28690243,0.47109818,-0.6566889,-0.4667946,0.07595466,0.33209512,0.253131,-0.6650829,0.3619164,0.11647772,-0.6321778,-0.53894556,-0.6124898,-0.25172412,0.74932796,0.058950912,0.7344338,1.6761317,0.05301295,-0.20140132,0.0051867412,-1.0726615,-0.040624645,-0.8310147,0.17852677,1.2709589,0.2944383,0.33628917,0.2619338,-0.2526073,-0.38239205
,0.24474852,-0.30957162,0.52786684,-0.7336604,-0.51690507,0.06841908,0.36445433,0.2569291,-0.7246301,0.41308138,0.0984563,-0.71198237,-0.59456325,-0.6780706,-0.2707984,0.811985,0.08314055,0.829294,1.8540924,0.04418455,-0.21640182,-0.009639118,-1.1812663,-0.014206636,-0.92252386,0.20352526,1.4028933,0.33766398,0.37165925,0.2859273,-0.30473468,-0.41582686
,0.22089915,-0.29779294,0.48313564,-0.68771416,-0.46851644,0.05708832,0.34625688,0.25824717,-0.658923,0.35789242,0.09690529,-0.6528914,-0.55787855,-0.6554525,-0.25696838,0.7680271,0.06219954,0.752871,1.7413741,0.046897426,-0.1905962,0.0050612404,-1.1185755,-0.027094789,-0.86900514,0.17695239,1.2948973,0.29563528,0.35965052,0.2724741,-0.26713562,-0.3957483
,0.26876393,-0.34558517,0.5820066,-0.7671637,-0.555831,0.088132545,0.41605827,0.28772646,-0.7624135,0.43209818,0.117137134,-0.7502178,-0.63697594,-0.72051674,-0.29349324,0.8719832,0.09724786,0.86745447,1.9699936,0.039932974,-0.23553199,-0.016075455,-1.2524117,-0.045296643,-0.97562695,0.21109961,1.4824331,0.36820048,0.42108667,0.31396756,-0.31709215,-0.43333602
,0.20583048,-0.2420367,0.43191913,-0.6089615,-0.41242284,0.071310915,0.29642153,0.23794504,-0.59174824,0.332948,0.09649233,-0.5783936,-0.49592695,-0.5860656,-0.23911244,0.6672271,0.061357222,0.6761213,1.5321665,0.03838389,-0.17693803,0.00027444636,-0.98017836,-0.02671054,-0.74940157,0.14602415,1.1461644,0.26451668,0.29988214,0.23502846,-0.23961744,-0.32764396
,0.21014056,-0.25566232,0.4645079,-0.62810534,-0.4323094,0.054029256,0.32341716,0.2286307,-0.62405014,0.32523862,0.09945343,-0.6243907,-0.5039853,-0.5779137,-0.23594356,0.7088097,0.06579214,0.7222459,1.5764246,0.038124193,-0.18646412,0.008988777,-1.0079323,-0.008946528,-0.7797406,0.17776354,1.1980784,0.26970327,0.31933296,0.2610299,-0.24838132,-0.35014936
,0.20751272,-0.26262644,0.42785287,-0.59561574,-0.42650622,0.06808816,0.30920783,0.22534724,-0.60497046,0.32211924,0.10428988,-0.58186877,-0.49012527,-0.5623545,-0.21706723,0.6501973,0.05172008,0.6589983,1.5039147,0.044758044,-0.18338612,-0.011602782,-0.9589163,-0.012194354,-0.7430343,0.17027727,1.1415651,0.27031356,0.3218255,0.24158709,-0.23621325,-0.33475164
,0.19968057,-0.28117016,0.45589498,-0.620271,-0.45554227,0.05997708,0.32899553,0.23561896,-0.6204546,0.3517981,0.099906415,-0.61454916,-0.53342324,-0.58508176,-0.22052966,0.71104956,0.0690753,0.7217102,1.5923593,0.026314817,-0.18700019,-0.006284713,-1.0351487,-0.038598254,-0.8082428,0.15030953,1.2044942,0.2953149,0.3305276,0.2683762,-0.2477671,-0.33926022
,0.23800978,-0.29272404,0.53961337,-0.7247024,-0.491196,0.08729459,0.37270433,0.27707604,-0.71452695,0.38693193,0.10481673,-0.70153505,-0.59890133,-0.671945,-0.26184276,0.79610217,0.090701625,0.8165464,1.8420024,0.057768617,-0.22711153,-0.021253968,-1.1684359,-0.019395066,-0.89428127,0.1857694,1.3698016,0.31311348,0.37006882,0.29749852,-0.28683853,-0.40654528
,0.22259393,-0.28518716,0.4955271,-0.7021902,-0.47581428,0.070417285,0.37013248,0.25320214,-0.67165947,0.38022485,0.11104173,-0.6722131,-0.5531196,-0.66011393,-0.24670403,0.7803898,0.0812919,0.78394145,1.7652427,0.039942984,-0.19815423,0.0062810825,-1.1252985,-0.034883723,-0.8846176,0.19068359,1.3070335,0.29991952,0.35972393,0.2697251,-0.27478823,-0.39703104
,0.21906151,-0.30553427,0.50027746,-0.6865355,-0.48352763,0.08699014,0.3713088,0.2691882,-0.6901338,0.3663116,0.11070913,-0.66925365,-0.57475835,-0.643142,-0.24704073,0.77556294,0.07121863,0.79744875,1.7580065,0.04407779,-0.19768378,0.001626915,-1.1373345,-0.021398846,-0.85845774,0.18385017,1.3148175,0.31100476,0.35783097,0.26791614,-0.28731385,-0.389948
,0.19122273,-0.23959541,0.44728988,-0.58621573,-0.40677142,0.068979494,0.31010488,0.22901769,-0.5901012,0.3244749,0.10899793,-0.57519513,-0.46826798,-0.5531914,-0.21404396,0.6647138,0.058364365,0.6749378,1.507555,0.034843583,-0.16090044,0.0058876704,-0.9422719,-0.025658444,-0.7364158,0.14425194,1.1444778,0.2534617,0.31000504,0.25462818,-0.24043982,-0.31872138
,0.21709006,-0.28543985,0.49496937,-0.697134,-0.48154697,0.07327656,0.36762595,0.26194188,-0.6807828,0.360018,0.10984925,-0.6448039,-0.556107,-0.64661175,-0.24619249,0.76560843,0.07349558,0.76188624,1.739744,0.028117431,-0.20430724,-0.007669273,-1.100913,-0.037266836,-0.84461653,0.1748303,1.2970705,0.3268963,0.3633585,0.26061478,-0.28017595,-0.37161025
,0.19915116,-0.24520102,0.43187472,-0.6092458,-0.41397753,0.07857976,0.3220777,0.21694736,-0.59400904,0.34104857,0.08963266,-0.5730383,-0.47312054,-0.5775357,-0.22836189,0.6695561,0.08090907,0.6775021,1.5419928,0.039337095,-0.16496453,-0.014386667,-0.97611326,-0.018922765,-0.7469374,0.14349195,1.162822,0.28262246,0.3300935,0.25066692,-0.23592861,-0.32986924
,0.14306666,-0.21261145,0.3521059,-0.46964613,-0.34630847,0.053271253,0.2501981,0.18275298,-0.47957212,0.25567386,0.07861507,-0.4690171,-0.4007003,-0.46508902,-0.18722618,0.54131454,0.045734048,0.55732846,1.2137002,0.024979098,-0.13195364,-0.0063393326,-0.7952331,-0.017011473,-0.60139155,0.11247594,0.91427386,0.23361455,0.26305088,0.19206917,-0.17796977,-0.27095082
,0.11855011,-0.14839385,0.23840874,-0.35557166,-0.247458,0.046109017,0.17127764,0.11192245,-0.3494709,0.18786214,0.039019678,-0.33228153,-0.29495746,-0.31335232,-0.13719627,0.39787155,0.026226366,0.40508032,0.8752259,0.019562542,-0.11446193,-0.0067681395,-0.57436305,-0.024239216,-0.44702458,0.08766045,0.6581631,0.15818432,0.18897414,0.14342344,-0.1307762,-0.19667661
,0.2181107,-0.27373204,0.48032027,-0.66812253,-0.46567583,0.08226601,0.35639492,0.23770474,-0.6781346,0.37106976,0.11961931,-0.6428637,-0.546831,-0.6199667,-0.23997416,0.7523331,0.0679907,0.75115865,1.6966563,0.041773014,-0.20929417,0.004623998,-1.1018922,-0.03546349,-0.8451708,0.18790622,1.2867396,0.31176016,0.33621943,0.28714946,-0.28260905,-0.37548327
,0.16871205,-0.2153575,0.3838953,-0.54635143,-0.3750414,0.042766884,0.27597865,0.2103898,-0.5185458,0.30494016,0.0915218,-0.5133243,-0.45123518,-0.5092081,-0.20229822,0.5878483,0.06579626,0.5922888,1.3724813,0.047812555,-0.16109154,-0.00049961684,-0.88185036,-0.009105789,-0.6708562,0.1409365,1.0160221,0.23589024,0.28042194,0.22507598,-0.21911123,-0.29967073
,0.1048138,-0.14269416,0.24692902,-0.33791593,-0.24832831,0.050328244,0.17867453,0.12340328,-0.3454585,0.19654419,0.044365503,-0.32262117,-0.2740758,-0.32833394,-0.13520332,0.3672374,0.043264978,0.372035,0.85180706,0.03473675,-0.08993574,0.0032594977,-0.54952216,-0.027656622,-0.43226993,0.075420775,0.63165253,0.16453034,0.18564318,0.14830469,-0.13065353,-0.17386988
,0.1690383,-0.23503947,0.40342394,-0.57369405,-0.40349948,0.055344168,0.2985506,0.21605438,-0.5451774,0.31937787,0.0757824,-0.5621072,-0.47132397,-0.5249077,-0.21919778,0.6255014,0.05229824,0.62534165,1.4280896,0.02435163,-0.14993401,0.002063118,-0.9125637,-0.004296432,-0.7073646,0.1537875,1.0833598,0.25813717,0.2809115,0.22899853,-0.23255315,-0.31037438
,0.23976795,-0.2982692,0.51102126,-0.70223063,-0.4797856,0.0836435,0.3594492,0.2655352,-0.6949688,0.3823136,0.10557018,-0.6739062,-0.5824793,-0.66464686,-0.2581863,0.77945876,0.08582781,0.8095009,1.8060169,0.04832522,-0.2231762,0.0038355943,-1.134129,-0.016069312,-0.88559526,0.19373581,1.3403379,0.3125193,0.3811729,0.2784845,-0.2703994,-0.40202916
,0.03198521,-0.04307794,0.06489589,-0.09333448,-0.057232685,0.0008038493,0.04291282,0.021118188,-0.0891073,0.055087224,0.00999389,-0.075197764,-0.0789614,-0.0973236,-0.019495377,0.0899116,-0.0026554624,0.087626725,0.20928575,-0.007590356,-0.03291667,0.012810547,-0.13569054,0.01035334,-0.10475515,0.018034028,0.17515092,0.04275917,0.030352268,0.029529694,-0.04186836,-0.061307393
