,about,album,all,always,and,are,away,back,been,better,but,can,cant,dont,down,eyes,feel,find,for,from,get,had,here,how,ill,its,ive,just,keep,know,let,like,lost,myself,never,not,now,one,only,out,over,past,say,see,still,take,that,the,this,through,time,too,want,was,well,were,what,when,while,with,you,youll,your,youre
"""I Don't Love You Anymore"" lyrics",0.35155317421546584,0.04413615036440383,0.0,0.0,0.11985809295453927,0.0,0.05422982797312718,0.15971029677664458,0.0,0.0,0.08417904183950523,0.0,0.062371050513380696,0.09117543696439481,0.0,0.0,0.0,0.0,0.18235087392878963,0.0,0.0,0.07189300415339862,0.0,0.15135291948697235,0.14135336098226967,0.0,0.050450973162324116,0.2525371255185157,0.15683211871397207,0.19166002070082758,0.0,0.12626856275925785,0.0,0.0,0.13902723953501658,0.0,0.13040669946187733,0.0,0.0,0.0,0.0,0.0,0.061054563195863845,0.0,0.0,0.0637517816131451,0.34614196724385904,0.17223939712771397,0.0,0.0,0.0,0.24421825278345538,0.1871131515401421,0.062371050513380696,0.0,0.05422982797312718,0.057436958815224815,0.0,0.0,0.13240845109321148,0.5077409631818512,0.0,0.0,0.11718439140515527
"""Maybe This Place Is The Same..."" lyrics",0.0,0.22786301565392117,0.0,0.0,0.3093974699385659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4345936419474666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2964084854093305,0.5119378751796315,0.0,0.0,0.0,0.0,0.0,0.0,0.5599478902589625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Lost Boy"" lyrics",0.0612700444094002,0.0,0.089418954373534,0.12768989977423015,0.12533598698755655,0.0,0.0,0.0,0.0,0.0,0.2200657259043606,0.0,0.0,0.0,0.05369627337168328,0.06006200954156931,0.21102696897341694,0.0,0.0,0.0,0.06522160483990294,0.5262511931955299,0.0,0.0,0.04927121892231022,0.0,0.10551348448670847,0.08802629036174425,0.0,0.2004194899855862,0.0,0.1760525807234885,0.29307547958596075,0.0,0.048460408070194264,0.0,0.13636669818402156,0.0,0.0,0.08403474513277448,0.0,0.20935003972633848,0.12768989977423015,0.0,0.0,0.0,0.03619617502072104,0.18011128247578354,0.15553837320007527,0.0,0.0,0.0,0.19566481451970885,0.19566481451970885,0.0,0.11341660534771397,0.12012401908313862,0.0,0.0,0.230766560329469,0.2654731657483786,0.0,0.14070760649269065,0.0612700444094002
"""Old And All Alone"" lyrics",0.0,0.0,0.1661557209804437,0.23726968747900484,0.2037837503249444,0.058095256561156945,0.1053737318040117,0.0,0.0,0.0,0.16356791289675923,0.0,0.0,0.044290644101621396,0.09977686586185053,0.0,0.0,0.06640622498374833,0.1328719323048642,0.1496652987927758,0.06059645212583229,0.0,0.18178935637749688,0.0,0.0,0.0,0.0,0.20445989112094903,0.20315985050158786,0.046551714189671,0.0,0.0,0.0,0.0,0.13507159804632277,0.0,0.0,0.06059645212583229,0.0,0.07807546936087113,0.19921867495124498,0.0,0.05931742186975121,0.0,0.0,0.0,0.3026640961915603,0.16733879414124386,0.0,0.0,0.058095256561156945,0.0,0.06059645212583229,0.0,0.0,0.0,0.11160549313991407,0.22145322050810698,0.0,0.0,0.4316327547028545,0.2951277064829917,0.3050352835819215,0.1707753430131954
"""I've Given Up On You"" lyrics",0.1579869538773879,0.0,0.11528495169662688,0.0,0.2827853254060846,0.0,0.0,0.0,0.07311217157878426,0.0,0.11348943524875917,0.0,0.0840880953733247,0.24584382581536937,0.13845772018500788,0.07743599684555898,0.06801755314415352,0.0,0.0,0.06922886009250394,0.0,0.0,0.0,0.0,0.12704756241644627,0.11528495169662688,0.20405265943246056,0.11348943524875917,0.2114396670806732,0.19379575100094407,0.0,0.11348943524875917,0.0,0.0,0.0,0.19379575100094407,0.0879065759788536,0.0840880953733247,0.0879065759788536,0.1083432657129982,0.0,0.0,0.0,0.0,0.16123450476302073,0.0,0.046666552053773,0.3096154970082262,0.0,0.14095977805378213,0.16123450476302073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05950396523235061,0.29948268397244865,0.0,0.30234957326264256,0.39496738469346976
"""Dead"" lyrics",0.0,0.0,0.04278094182917045,0.0,0.1499120518122316,0.0,0.10852440021997477,0.10653708985411975,0.0,0.0,0.0,0.0,0.18722484749744817,0.0456149317689993,0.0,0.17241373628283943,0.0,0.0,0.1824597270759972,0.05138009415679611,0.0,0.0,0.0,0.05048108953681733,0.09429182729032481,0.0855618836583409,0.0,0.0,0.15692573860916334,0.04794360772039582,0.0,0.12634393794202275,0.0,0.0,0.0,0.09588721544079164,0.0,0.0,0.0,0.0402049606634458,0.0,0.0,0.0,0.05529199603432441,0.0,0.06378983781720471,0.10390457832002534,0.1723422142957732,0.14882925309727577,0.0,0.17949690400027424,0.0,0.0,0.12481656499829877,0.0,0.0,0.057471245427613143,0.3193045223829951,0.0,0.04416249714722577,0.5080440557890747,0.5319160133702517,0.08975880591848019,0.058627171925979334
"""Skin Deep"" lyrics",0.06612192656966634,0.0,0.0,0.0,0.2367070199478863,0.0,0.0,0.0,0.12239789480929128,0.0,0.047498479588227546,0.0,0.2111592152845679,0.0,0.0,0.0,0.05693446887945601,0.0,0.0,0.0,0.0,0.24339609829443268,0.2111592152845679,0.11386893775891202,0.053172932237651765,0.0,0.28467234439728006,0.047498479588227546,0.0,0.05407260157756527,0.0,0.0,0.0,0.0,0.36608540150222063,0.0,0.0,0.07038640509485597,0.07358268539534746,0.0,0.0,0.22592815277963002,0.0,0.062360389927862095,0.0,0.0,0.07812499076484143,0.22676969298566194,0.2797587029310434,0.05899558074258598,0.06748111678076264,0.0,0.0,0.0,0.0,0.06119894740464564,0.0,0.15433870011936768,0.0,0.04980812305237564,0.5371792205218937,0.0,0.05061667635457531,0.06612192656966634
"""Late Nights In My Car"" lyrics",0.0,0.0,0.24285607995808142,0.0,0.2723235286364228,0.20379127997783,0.0,0.362869711219938,0.06160642868141381,0.0,0.0956294779346352,0.0,0.0,0.10357755620444067,0.0,0.06524980880781876,0.0,0.0,0.0,0.17500271459131528,0.0,0.0,0.0,0.17194066786858442,0.053526973854976394,0.14571364797484887,0.057313555956194806,0.0,0.0,0.27216316734018736,0.0,0.0478147389673176,0.0,0.0627756044435555,0.31587677989434465,0.1632979004041124,0.0,0.0,0.0,0.0,0.0,0.07581081713335304,0.0,0.0,0.0,0.0,0.0,0.22827959483771748,0.0,0.059388391331397575,0.0,0.0,0.07085505926999291,0.3542752963499646,0.0,0.0,0.06524980880781876,0.31073266861332205,0.0,0.0,0.10815118475618536,0.25881826082382503,0.0,0.0
"""Alexander Supertramp"" lyrics",0.0,0.0,0.0,0.12315948435878599,0.06044454399400456,0.24124385774804333,0.0,0.10738939492913972,0.10939260393379535,0.0,0.16980626580704913,0.0,0.0,0.09195970960187444,0.0,0.11586203979752883,0.20353976885029046,0.13787781345538574,0.0,0.0,0.0,0.0,0.0,0.0,0.38018467721753185,0.08624638543861413,0.0,0.08490313290352457,0.0,0.0,0.0,0.16980626580704913,0.0,0.0,0.18696416491184328,0.0,0.0,0.0,0.0,0.08105320700442147,0.13787781345538574,0.0,0.0,0.0,0.12062192887402166,0.1286003230461371,0.0,0.23162795403696093,0.30003979759081423,0.1054541045509559,0.0,0.0,0.2516302146164286,0.0,0.0,0.0,0.23172407959505767,0.0,0.0,0.08903160117653694,0.06401355601044828,0.30638364754159914,0.3619075336240727,0.0
"""Hebron"" lyrics",0.0,0.0,0.0,0.0,0.12889440098287275,0.1286095505092887,0.23327323235992609,0.11450075405215715,0.11663661617996304,0.0,0.09052544476350514,0.0,0.13414662283411943,0.09804931016493594,0.11044152852832018,0.0,0.0,0.0,0.0,0.22088305705664035,0.0,0.0,0.0,0.0,0.10134015618862396,0.09195764789912865,0.2170182356306039,0.1810508895270103,0.0,0.10305479985389078,0.0,0.09052544476350514,0.0,0.11885016284278035,0.19934499004546546,0.10305479985389078,0.1402382850999267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286095505092887,0.0,0.0,0.30870803646731754,0.0,0.1124373081433861,0.0,0.0,0.0,0.4024398685023583,0.0,0.0,0.0,0.19609862032987188,0.0,0.09492730148922969,0.4777678751533057,0.0,0.0964682907573318,0.12601912446945834
"""Dirty Water"" lyrics",0.0,0.0,0.04753272653662856,0.0,0.1332505224740419,0.06647802258994777,0.0,0.0,0.0,0.16419326857439157,0.09358484713028715,0.2835005296413197,0.0,0.20272597891095628,0.05708700791893185,0.1277094367645515,0.0,0.30395283786624255,0.15204448418321723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04679242356514358,0.0,0.10653764491921927,0.0,0.14037727069543074,0.15579109287676823,0.0,0.051520515774130825,0.1598064673788289,0.0,0.06934012433616052,0.07248889252727102,0.0,0.0,0.0,0.0,0.0,0.06647802258994777,0.07087513241032993,0.23089103212879106,0.25531291871504425,0.22048011367216977,0.05811862245929467,0.0,0.13575307673815543,0.0,0.0,0.0,0.18086770946299144,0.0,0.05068149472773907,0.0,0.04906773461079796,0.35279610119399885,0.0,0.3989141513540321,0.2605561459493954
"""Home For Fall"" lyrics",0.12820511295922213,0.0,0.046776394797241355,0.06679649975002845,0.22947796445923146,0.0,0.1779897767361215,0.05824346966769565,0.0,0.0,0.0,0.0697473807309918,0.0,0.14962518115632464,0.0,0.0,0.11039136928766605,0.0,0.09975012077088309,0.16853595079285788,0.0,0.0,0.2047103922434556,0.0,0.0,0.09355278959448271,0.0,0.18419148554554127,0.05719384994952599,0.0,0.0,0.13814361415915594,0.0,0.0,0.0,0.10484243809724418,0.0,0.0,0.0,0.1318795028153334,0.149558198947593,0.07300942831538912,0.0,0.0,0.196260710667065,0.1394947614619836,0.0,0.3454693383934319,0.0,0.0,0.1308404737780433,0.2671859990001138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777459811763368,0.16616954303580816,0.4907083811919443,0.19230766943883318
