title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,0.3058728,1.3752043,-1.0561591,-1.0265409,0.40322688,-0.1800052,0.50069255,-1.3836025,-0.7257958,0.765455,-1.674712,0.1341441,0.25024304,-0.5598736,0.99161726,-0.18735804
,0.35523647,1.310769,-1.0258001,-1.0159245,0.3859614,-0.22181658,0.42367056,-1.353019,-0.6929405,0.7037378,-1.6734018,0.11704411,0.23158635,-0.5487779,0.96576196,-0.23764339
,0.3679532,1.4796726,-1.1661518,-1.1629133,0.46105924,-0.23465359,0.505561,-1.5449753,-0.7611065,0.84441733,-1.874457,0.1306335,0.23567158,-0.54956335,1.0665878,-0.21198404
,0.31906605,1.1189333,-0.87587523,-0.912155,0.3283022,-0.19112562,0.4172775,-1.1978257,-0.60654855,0.6176988,-1.4513723,0.06610065,0.1579335,-0.43035108,0.80334574,-0.21497257
,0.28602937,1.2187755,-0.9865965,-0.9464426,0.40067676,-0.2057237,0.43066353,-1.2434748,-0.63766426,0.69870025,-1.5206065,0.10839052,0.17734638,-0.47062185,0.9251485,-0.2108397
,0.28306785,1.1485152,-0.96977645,-0.9115247,0.34454405,-0.19684872,0.39474702,-1.2376302,-0.607387,0.6461335,-1.4850769,0.06984531,0.18587519,-0.4668105,0.8588898,-0.1731592
,0.31663764,1.2091002,-0.95324004,-0.9609705,0.37562147,-0.17289972,0.45624244,-1.2654995,-0.59780437,0.65569884,-1.5145782,0.07059057,0.20788454,-0.50397813,0.89501303,-0.20575258
,0.37669182,1.4612068,-1.1544081,-1.1046314,0.43261713,-0.20100243,0.5325918,-1.4826146,-0.7515795,0.79216874,-1.8119458,0.08376494,0.22381599,-0.5492644,1.0272785,-0.22681662
,0.29288602,1.2621144,-1.0235618,-0.97130746,0.40530816,-0.20530331,0.44076607,-1.2756447,-0.65748084,0.7037453,-1.5477484,0.09364976,0.21449448,-0.4907732,0.9269261,-0.19586705
,0.28498724,1.2585225,-1.0220748,-0.98420036,0.3927659,-0.22950593,0.41682538,-1.3146744,-0.6269304,0.7026636,-1.5795542,0.10891294,0.1720801,-0.48064777,0.92116064,-0.22895804
,0.327694,1.2282776,-0.94864416,-0.95914954,0.37715846,-0.21853192,0.44359556,-1.2669342,-0.6233598,0.6924683,-1.552147,0.12359943,0.22550347,-0.49352995,0.9062096,-0.19421045
,0.34073612,1.2812343,-1.0365865,-1.0058714,0.37189838,-0.18170811,0.4728132,-1.348881,-0.66820216,0.7268287,-1.6209795,0.082363985,0.2229306,-0.49281234,0.94647026,-0.18168177
,0.28728452,1.1244525,-0.86815345,-0.8684634,0.34056067,-0.16836411,0.3762637,-1.1733106,-0.55668426,0.6339054,-1.4085517,0.08084176,0.17852053,-0.4268586,0.85019165,-0.16943727
,0.23634155,1.0082747,-0.8137783,-0.7732203,0.31341213,-0.18484692,0.3753888,-1.076464,-0.49812308,0.57066816,-1.253461,0.074614815,0.1616013,-0.40427136,0.76024276,-0.18322727
,0.17592269,0.71399283,-0.5829852,-0.5558928,0.23998012,-0.124927945,0.23197173,-0.73054624,-0.37975767,0.42087013,-0.9237379,0.04315515,0.13888662,-0.27513468,0.54577416,-0.098167
