title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,0.30376345,0.9589319,-0.7135537,-0.65886146,0.24131219,-0.18866956,0.27273357,-0.98936814,-0.4787298,0.5395236,-1.1463872,-0.03809487,0.17529142,-0.28210172,0.66546816,-0.06640726,-0.37761784,0.47102752,0.31183136,0.37839842,0.3148025,0.09312532,-0.41723374,0.2837633,0.25489175,-0.43281487,-1.4030669,-0.023193493,0.08451867,-0.42188948,-0.13922451,1.0511081
,0.24850187,0.8716262,-0.65254486,-0.6140254,0.21982445,-0.16484664,0.24436186,-0.9060138,-0.452516,0.46474782,-1.0291846,-0.054033767,0.1875616,-0.24238788,0.59650266,-0.0526412,-0.34843114,0.4182676,0.28686854,0.351471,0.30225247,0.07931583,-0.35215467,0.258658,0.24213941,-0.37741596,-1.2680672,-0.023651144,0.08349922,-0.36920354,-0.11247293,0.9425865
,0.3823588,1.2770019,-0.9583777,-0.89545405,0.315319,-0.24183717,0.35216555,-1.321144,-0.6177125,0.709041,-1.537403,-0.054742195,0.24606399,-0.35603645,0.88083345,-0.06775768,-0.5162181,0.6102179,0.411507,0.49956062,0.44238484,0.12784408,-0.55887765,0.3953545,0.34459552,-0.5735442,-1.8718301,1.8930323e-05,0.112553194,-0.55236304,-0.17679621,1.3974655
,0.17407784,0.5820294,-0.44717082,-0.39848864,0.15584646,-0.11258191,0.1656947,-0.6218458,-0.2994956,0.32629803,-0.7258889,-0.011648972,0.121379405,-0.1574629,0.43013573,-0.037783336,-0.24830763,0.28271717,0.18183146,0.23829095,0.19838868,0.07024346,-0.24945703,0.15888304,0.16734259,-0.2525963,-0.87898654,0.002231826,0.037967727,-0.26714978,-0.07302408,0.6497726
,0.24257928,0.75287116,-0.5531991,-0.52471757,0.1733141,-0.13206597,0.2212806,-0.78005785,-0.36437848,0.40323624,-0.89765376,-0.04449522,0.14972587,-0.19760306,0.5130342,-0.03210438,-0.31105572,0.35918063,0.24158457,0.28541315,0.2535741,0.08593711,-0.32433,0.22301954,0.22368428,-0.34759188,-1.1162013,-0.01982293,0.06505184,-0.3238075,-0.08410194,0.80573636
,0.30646122,0.9774633,-0.7267132,-0.66833174,0.24799605,-0.17190157,0.27494234,-1.023915,-0.48922914,0.5536333,-1.1684676,-0.051645976,0.1805278,-0.28873748,0.6930886,-0.042657476,-0.3837674,0.48128405,0.32536268,0.37525794,0.32351318,0.09606475,-0.42381254,0.27220646,0.2585992,-0.4403183,-1.4202658,-0.009991832,0.08459778,-0.41158292,-0.1348301,1.0581979
,0.32382536,1.0464575,-0.7907946,-0.72712094,0.2507445,-0.19459137,0.2786403,-1.0887668,-0.51924896,0.59840274,-1.2591102,-0.032000016,0.2165051,-0.29186904,0.75513005,-0.048986197,-0.4097735,0.5003221,0.34955442,0.41618437,0.37852293,0.11291057,-0.4503771,0.3104421,0.3073475,-0.4724878,-1.5404692,-0.001054199,0.09889979,-0.45947826,-0.14297244,1.1529217
,0.3153794,1.0852563,-0.8115201,-0.7536517,0.26565003,-0.21257217,0.3010937,-1.1348262,-0.5350253,0.59350693,-1.3180283,-0.037627067,0.22289579,-0.3065154,0.74696934,-0.04997061,-0.44584897,0.54921705,0.3370764,0.44553807,0.37004405,0.11635388,-0.44558218,0.31568328,0.30258417,-0.47047582,-1.5823747,-0.023009455,0.0977552,-0.49088362,-0.16326916,1.1858997
,0.3575065,1.1214689,-0.8409888,-0.7661664,0.28214946,-0.21190377,0.30922878,-1.184495,-0.5532211,0.6132996,-1.3640174,-0.047074523,0.2093981,-0.32175618,0.79669183,-0.058280755,-0.44241858,0.5463139,0.3516295,0.4595337,0.39446223,0.10516858,-0.4978048,0.3118798,0.3254486,-0.5023436,-1.6722133,0.0028987266,0.097710766,-0.4905678,-0.15553667,1.2363089
,0.2659192,0.8501853,-0.6349833,-0.60031253,0.21807902,-0.14658584,0.23734343,-0.8821555,-0.43436503,0.45822513,-1.0171311,-0.052456167,0.1614098,-0.25684592,0.59992725,-0.05783534,-0.35615703,0.4089643,0.267721,0.33581832,0.288896,0.10207627,-0.35396364,0.22720987,0.2309002,-0.39049283,-1.249499,-0.027959716,0.079914,-0.3738713,-0.11269416,0.9237167
